Lambda Stress[kPa]
1	0.031844861
1.001404845	0.015333195
1.003023008	0.021341621
1.004523846	0.025084256
1.006047539	0.035001105
1.007284778	0.043409158
1.008808472	0.051240416
1.010665854	0.060007707
1.012070699	0.066736717
1.013356697	0.071593494
1.015070852	0.078992522
1.016404083	0.084682893
1.017856163	0.088514027
1.01923663	0.093275557
1.020498248	0.09989762
1.02204632	0.108339448
1.023570014	0.115685604
1.025044949	0.122693879
1.026308091	0.129288676
1.027783026	0.135478344
1.028925796	0.140255213
1.030426634	0.149107663
1.032021941	0.158969596
1.033425263	0.16543146
1.035044949	0.173501593
1.036544263	0.180511486
1.037711412	0.186730532
1.039163492	0.194019589
1.040662807	0.200836179
1.04211641	0.207798918
1.043544111	0.214392651
1.044901722	0.220790552
1.046425415	0.228243245
1.047971964	0.234807866
1.049520037	0.242413645
1.050947737	0.250997949
1.052258114	0.257508205
1.053734573	0.263856921
1.055162273	0.274485409
1.056401036	0.281392661
1.057853116	0.290762408
1.059328051	0.297402622
1.060757276	0.305040607
1.062090507	0.313288613
1.063542587	0.320671506
1.064804205	0.331471985
1.066256285	0.338620179
1.06768551	0.348010339
1.069041597	0.357823278
1.070399208	0.364892107
1.071994515	0.375404616
1.073899131	0.387974344
1.075398446	0.397094327
1.076756057	0.407461875
1.078136523	0.41893808
1.079660216	0.432822194
1.081017827	0.444324507
1.082588755	0.452053632
1.083803139	0.460807487
1.085255219	0.47123462
1.086850526	0.483310118
1.088302606	0.496028567
1.08980192	0.502939668
1.091349992	0.512117735
1.092588755	0.524439856
1.093969221	0.540391606
1.09523084	0.548596973
1.096707298	0.562435538
1.097897303	0.572270792
1.099705927	0.583482365
1.101135152	0.598780762
1.10239677	0.610869262
1.103967698	0.623717526
1.105491391	0.634007608
1.106943471	0.64985116
1.108206613	0.657462839
1.109658693	0.670612095
1.111086393	0.680681218
1.112800549	0.696954801
1.114229773	0.709033223
1.115372543	0.719440988
1.116943471	0.735285538
1.11811062	0.745550003
1.119609934	0.763406086
1.121467317	0.782347178
1.123013866	0.797278709
1.124324242	0.810103724
1.125776322	0.825921408
1.127513332	0.846739887
1.128846564	0.859187994
1.130275789	0.877328505
1.131727868	0.893249801
1.132942252	0.905264709
1.134322718	0.921423091
1.135774798	0.937905571
1.137441719	0.957716742
1.13877495	0.977071449
1.140108182	0.990648421
1.141298187	1.002533786
1.142917873	1.023048926
1.144417187	1.045650001
1.145846412	1.065282096
1.14710803	1.083572125
1.148916654	1.106060308
1.150083803	1.126286423
1.151631876	1.144823128
1.153106811	1.165420571
1.154488801	1.187392848
1.156202956	1.210571695
1.157345726	1.227370474
1.158749048	1.24632113
1.160368734	1.275994878
1.161939662	1.301371177
1.163320128	1.322512485
1.164915435	1.342221389
1.166416273	1.37212343
1.167725126	1.399391682
1.169439281	1.433433427
1.170725278	1.448191862
1.172248972	1.483904036
1.17379552	1.512541856
1.175558434	1.543291314
1.176963279	1.569126878
1.178224897	1.591662844
1.179820204	1.628372484
1.181485601	1.662948714
1.182843212	1.688444412
1.184270913	1.720347781
1.185509675	1.746386317
1.187057748	1.780930222
1.188509828	1.80959847
1.190199604	1.846944146
1.191557215	1.882656312
1.193128143	1.919037364
1.19472345	1.954215747
1.19615115	1.985199387
1.197627609	2.030124477
1.199222916	2.072104233
1.20074661	2.113347667
1.202055462	2.145111601
1.203388694	2.187996584
1.204746305	2.228325406
1.20615115	2.265411995
1.207555996	2.308056056
1.209151303	2.344351485
1.210554624	2.388810516
1.211840622	2.433023711
1.213269846	2.478069848
1.21476916	2.520611569
1.216149627	2.567980216
1.217507238	2.614387165
1.218959317	2.662300682
1.220673472	2.718304242
1.222006704	2.757947399
1.223530398	2.811504682
1.225172939	2.879807717
1.226673777	2.924526004
1.228101478	2.970446849
1.229340241	3.025576258
1.230815176	3.077247431
1.232316014	3.133765843
1.233649246	3.190126638
1.234982478	3.228075156
1.236481792	3.288540734
1.238195947	3.35716872
1.239553558	3.409147848
1.240934024	3.461259112
1.242242877	3.529965157
1.244124638	3.602332021
1.245529483	3.656217046
1.247219259	3.717386262
1.24864696	3.786302978
1.249814109	3.843875782
1.25148103	3.914565829
1.252957489	3.973167943
1.254409569	4.04433417
1.255884504	4.10500503
1.257408197	4.17543869
1.258599726	4.232369111
1.260074661	4.288785809
1.261647113	4.371081415
1.263598964	4.471122818
1.264694499	4.512475679
1.266265427	4.579000205
1.268194423	4.684940572
1.269646503	4.755524197
1.271074204	4.815618085
1.27245467	4.89272444
1.273740667	4.956601992
1.275026665	5.02266005
1.276597593	5.108377247
1.27816852	5.176301709
1.279526131	5.238783397
1.280716136	5.320435566
1.282288588	5.36138166
1.28390675	5.439665581
1.285287216	5.507173711
1.2865016	5.572939538
1.287978059	5.645664451
1.289358525	5.727575706
1.29076337	5.797780764
1.292120981	5.861527294
1.293644675	5.967849779
1.295215603	6.054215828
1.297024227	6.156812052
1.298310224	6.232443214
1.299762304	6.315942906
1.301334755	6.391215813
1.302952918	6.499939747
1.304310529	6.545733392
1.305500533	6.621637645
1.307143075	6.727101014
1.30854792	6.815956586
1.310071614	6.891762389
1.311595307	6.993379396
1.313071766	7.068562058
1.31428615	7.137816468
1.31571385	7.23000598
1.316928234	7.297288546
1.318595155	7.389097984
1.319975621	7.499089772
1.321523693	7.577907799
1.322927015	7.648978497
1.324190157	7.733625296
1.325689471	7.830595057
1.327284778	7.930956408
1.328855706	8.048228691
1.330188938	8.109159306
1.331688252	8.206578529
1.333332318	8.324310637
1.334593936	8.405502438
1.336046016	8.481728601
